spell_id,obs_date,obs_kind,obs_event_id,evidence_quote
SP_30778e64362800da5aff,2007-12-10,onset,EV_071ec372e6737f74a24b,"Selon procès-verbal en date du 10 décembre 2007, enregistré à Tunis recette de l'enregistrement des actes de sociétés premier bureau le 13 décembre 2007 sous le n° 7812126, quittance n° 14407, le cons"
SP_1e357e47e3ec56816df8,2007-11-22,onset,EV_a4067935f5d2d31d2506,Gérance : Monsieur Ramzi Mabrouk est nommé gérant de la société avec tous les pouvoirs énoncés aux statuts.
SP_a02b0bf7e1b2f2aa931c,2007-12-06,onset,EV_8ff749d81ff91514aa58,"Gérance : Mme Abdennadher Emna est nommée gérante de la société pour une durée de trois ans suivant décision de l'assemblée générale ordinaire du 6 décembre 2007, procès-verbal étant enregistré à la r"
SP_fe52b9abcd0de38becac,2007-11-27,renewal,EV_d7b5123a7174b3e5581f,"- le renouvellement du mandat de Mr Hédi Karim Sellami en sa qualité de directeur général,"
SP_ce3530384ac4cea1dad9,1999-10-13,terminus,EV_9058c07cdcdd50255f31,"- Suivait procès-verbal du conseil d'administration du 13 octobre 1999, enregistré à la recette des finances d'Akouda, le 18 octobre 1999, quittance n° 9259, n° d'enregistrement 99700609, dont deux ex"
SP_dab9df4a064f592f280e,1999-10-13,renewal,EV_deaff86bbb8cbb8c78bc,"- Suivant procès-verbal du conseil d'administration du 23 juillet 2004, enregistré à la recette des finances d'Akouda, le 31 mai 2005, quittance n° 6860, n° d'enregistrement 05700454, dont deux exempl"
SP_dab9df4a064f592f280e,2001-06-29,renewal,EV_937ffd39fef13bbe02fe,"- Suivant procès-verbal du conseil d'administration du 23 juillet 2004, enregistré à la recette des finances d'Akouda, le 31 mai 2005, quittance n° 6860, n° d'enregistrement 05700454, dont deux exempl"
SP_dab9df4a064f592f280e,2007-05-26,renewal,EV_c8f10c3ef5d2e3a9f133,- le Renouvellement du mandat du Mr Hafedh Zouari en tant que président directeur général au titre des années 2007-2008-2009.
SP_dab9df4a064f592f280e,2010-06-07,renewal,EV_cec678f339309509958c,"La renouvellement du mandat du président directeur général Mr. Hafeidh Zouari pour une durée de trois ans, soit les exercices : 2010, 2011 et 2012."
SP_d3fd85591cf4b04374bc,2007-10-18,terminus,EV_56627059b0dac365a1b1,"Selon le procès-verbal de l'assemblée générale ordinaire du 18 octobre 2007, enregistré à la recette des finances cité Mahrajène Tunis, le 19 octobre 2007, enregistrement n° 07805755, quittance n° 949"
SP_84ba2300b78c416509be,2007-12-14,onset,EV_b59253150d6ee9d37b67,1 - Nomination de Mr Mohamed Chikhaoui en qualité de nouveau gérant pour une période de 3 ans avec délégation de pouvoirs.
SP_64833642bfabeec5e254,2007-10-23,terminus,EV_16453da9a096754b3ae2,- la nomination de Monsieur Abdessatar Rabhi gérant de la société pour une durée illimitée avec les pouvoirs les plus étendus et l'acceptation de la démission de Monsieur Mourad Ben Châabène de ses fo
SP_e2d6e6373d94781b550c,2007-11-14,onset,EV_4180edfc0f4a856490e1,"- Monsieur Mohamed Ben Taher Ben Mohamed Gara, directeur général de la société et délègue les pouvoirs les plus étendus pour lui permettre d'assurer une bonne gestion de la société."
SP_b8ef2f55134f3d7933a3,2007-12-12,onset,EV_781a9d7ebd01925e2835,- Nomination de Mr Fares GHANNOUCHI.
SP_b8ef2f55134f3d7933a3,2007-12-12,confirmation,EV_90a65ebf9dbf8c570150,- Nomination de Mr Fares Ghannouchi
SP_867b3fbea7efba0b772d,2007-12-15,onset,EV_09942d3d4a086f628678,"Gérance : Monsieur Sassi Souheil est nommé gérant de la société, avec tous les pouvoirs énoncés aux statuts."
SP_cbb5b337edddb070b9b8,2007-06-27,onset,EV_862f779f24098e50f3ef,Gérance : Mr. Mohamed Amara a été nommé gérant de la société avec les pouvoirs les plus étendus.
SP_833160f78c294b59c506,2007-12-21,onset,EV_537cc5fdf678ab23bcd3,"- M. Jean-Pierre SEGNERE comme gérant pour une durée d'un an, renouvelable."
SP_460d1249871049631cf9,2007-11-20,onset,EV_0aba5ffbeed4e9654ad7,"- Gérance : Monsieur El Bechir Boufateh est nommé gérant de la société pour toute sa durée, avec tous les pouvoirs énoncés au statut les plus étendus,"
SP_6f1af6cf7fed70f8f5a8,2007-12-14,onset,EV_386063669dceda8ce8c3,"Gérance : M. Mehdi Houas est nommé gérant de la société, avec les pouvoirs énoncés aux statuts les plus étendus."
SP_257ca96511522d66f33c,2007-12-25,onset,EV_557587a8fe7befbfd847,Gérance : Monsieur Sofiene Kamoun est nommé gérant de la société pour toute sa durée avec tous les pouvoirs énoncés au statut les plus étendus.
