from_node_id,to_node_id,role_canonical,layer,certainty,spell_id
PERSON_HAMAMI_MOHAMED,CO_PROGRES_INDUSTRIEL,gerant,corporate,certain,SP_23dea1cde43f86403a8e
PERSON_BEYRAKDAR_HATEM,CO_TECHNOGAS,pdg,corporate,certain,SP_08391739732a4d7a759f
PERSON_KILANI_KAIS,ORGE_2297645a0dd722fc889e,commissaire_aux_comptes,corporate,certain,SP_1b39c5da02341936264b
PERSON_KILANI_KAIS,ORGE_2297645a0dd722fc889e,pdg,corporate,certain,SP_d7d3ab99f0d65aba29e1
PERSON_GHORBEL_SLIM,CO_AFRICA_ELECTRIQUE,unspecified,corporate,certain,SP_d39928c614d8f732a4b1
PERSON_GHORBEL_SLIM,CO_MOHAMED_GHORBEL,unspecified,corporate,certain,SP_de857cb56bfc7600e196
PERSON_JELOULI_NOUREDINE,CO_CEPTUNES,president_ca,corporate,certain,SP_f85f5645f40971d73844
PERSON_DERBEL_FAYCEL,ORGE_e87a96c5caa1ad1b4537,commissaire_aux_comptes,corporate,certain,SP_ccdd8f4311b24a7e644e
PERSON_SASI_KHALED,CO_ELECTRONIQUE_INDUSTRIEL_TELECOM_SERVICES,gerant,corporate,certain,SP_3d36b47d8262e3201295
PERSON_BENKHALIFA_SAID,CO_NOS_ENFANTS,gerant,corporate,certain,SP_edd37fac0d1094deaed9
PERSON_BENAOUN_ALI,CO_AMEN_CONFORT_BRIMA,commissaire_aux_comptes,corporate,certain,SP_6f41009ee4329e15ba6f
PERSON_MAHMOUDI_HOUDA,ORGE_726482630cabebb859e3,gerant,corporate,certain,SP_f1a7c51c5d1f4b23e53e
PERSON_HARZALAH_AHMED,ORGE_509814415e87d019897c,cogerant,corporate,certain,SP_9eff57f3bccf9679cc94
PERSON_AMDOUNI_MOURAD,CO_SCEMAF,commissaire_aux_comptes,corporate,certain,SP_46ddac1fa7164e6b26a4
PERSON_BAYAHI_TAHER,CO_ISICOM,gerant,corporate,certain,SP_e3545ab9af5085a7f18b
PERSON_ABDELKEFI_MOHAMED,CO_CIVILE_IMMOBILIERE_ROMAIN_VILLA,gerant,corporate,certain,SP_36157ca9d34a364d6100
PERSON_DKHILI_BELGACEM,ORGE_f5a5af563e547ba1bc8f,president_ca,corporate,certain,SP_f27bd82a8847f8fe2feb
PERSON_DKHILI_BELGACEM,ORGE_f5a5af563e547ba1bc8f,representant,corporate,certain,SP_db3083284add6db26abb
PERSON_CHAIEB_MOEZ,CO_CHAIEB_MARBRE,dga,corporate,certain,SP_b5d01ae56b32ffc8ede8
PERSON_TRABELSI_MOHAMED,ORGE_e4f40dce0f2eb0335fac,gerant,corporate,certain,SP_f0ffaa836c9ddb38a6ae
PERSON_LOUKIL_MOEZ,CO_SOTEFI,dg,corporate,certain,SP_ac0f866607e6522862cc
PERSON_DJILANI_HEDI,CO_CRJ_CONSTRUCTION,pdg,corporate,certain,SP_ba5ef6912a4f6bee9768
PERSON_BENMESAOUED_MONGI,CO_NOVASTORE_PRINT,gerant,corporate,certain,SP_82c2b5e8a34e6ea23e15
PERSON_SAIDANE_MOHAMED,CO_SAIDANE_TEINTURERIE_TISSAGE_SOSTISS,cogerant,corporate,probable,SP_ded6cd48b4c5ffc98a15
PERSON_BENCHAABANE_NAAMA_ELOUMI,CO_ELLOUMI,association_president,corporate,certain,SP_9e64243c309d2ec20434
PERSON_BELHIBA_ABDELAZIZ,CO_TETHYS_PETROLEUM_COMPANY,pdg,corporate,certain,SP_9c11b22bb55a48bf9acf
PERSON_JARAYA_SOFIEN,CO_SOFPINCE,gerant,corporate,certain,SP_afc4a1f7741ff1d1f098
PERSON_MHIRI_MOURAD,ORGE_699c2ebf8fb79cff7c53,pdg,corporate,certain,SP_7072ad22bdb6cdf5ff0b
PERSON_MOALA_TAHA,CO_CONFECTION_MODERNE_EL_AMRA_CMA,gerant,corporate,certain,SP_fe01c9cc270a1482ec8e
PERSON_MARNONI_MARIO,CO_BELLA_ITALIA_TUNISIA,gerant,corporate,certain,SP_ad39ee7256d0b9401cf6
PERSON_BENSAID_ABDELJELIL,CO_INOV,gerant,corporate,certain,SP_b152992087e5580e1b8b
PERSON_DERBEL_FAYCEL,ORGE_0812f52a0e92de972d14,commissaire_aux_comptes,corporate,certain,SP_a72ec4d81c9ff33b8ba5
PERSON_TRIKI_ABDELATIF,CO_D_ETUDES_DASSISTANCE_MULTIDISCIPLINAIRES_SEAM,gerant,corporate,certain,SP_1a79b81ac98c94339047
PERSON_TRIKI_MOHAMED_SADOK,CO_DIMATEC,pdg,corporate,certain,SP_81f1a7865a100dfd1ba9
PERSON_TRIKI_MOHAMED_RADHOUANE,CO_DIMATEC,dga,corporate,certain,SP_a9dafe6439e482c3aab7
PERSON_AMAR_MOHAMED,CO_MASTER_SERVICES_AND_ASSISTANCE,gerant,corporate,certain,SP_4ce6331d63a82c283201
PERSON_BOURICHA_RADHIA,CO_AFRICA_MODE,pdg,corporate,certain,SP_871b52a14224a4c82348
PERSON_TROJETE_NEJIB,CO_LUSTRERIE_MODERNE,dg,corporate,certain,SP_db883295ac59b89eb090
PERSON_SELAMI_JALEL,CO_DRINKS_AND_FOOD,commissaire_aux_comptes,corporate,certain,SP_41ccb1924b9cacc76b5b
