from_node_id,to_node_id,role_canonical,layer,certainty,spell_id
PERSON_ESASI_ABDELAZIZ,ORGE_850389f59f85ecdb0127,administrateur,corporate,probable,SP_987eb111241242f2ea94
PERSON_GHARBI_AMEUR,CO_CONSERVES_MODERNES_CAP_BON_COMOCAP,gerant,corporate,certain,SP_db112bf1457c033283f1
PERSON_MABROUK_SAMI,CO_CIVILE_IMMOBILIERE_ASTRO,gerant,corporate,certain,SP_ce6ac4535a2c1f7709e7
PERSON_BENAYED_ABDELWAHEB,CO_AGRICOLE_SIDI_DAOUED,gerant,corporate,certain,SP_daa3ac745e5d49cf4ecc
PERSON_MATERI_ANISA,CO_TUNISIAN_INTERNATIONAL_TEXTILE_INDUSTRIE,administrateur,corporate,certain,SP_b662297f2cb31eb5ffb4
PERSON_ESAYAH_HABIB,CO_EURO_CYCLES,pdg,corporate,certain,SP_9d173b72600502fd5b39
PERSON_HORCHANI_JAMIL,CO_HORCHANI,gerant,corporate,certain,SP_1160c9ef79d0ea09596f
PERSON_ESAYAH_HABIB,CO_EURO_CYCLES,association_president,corporate,certain,SP_9d8a0ab64fb1f9feb678
PERSON_GHAZI_MOURAD,CO_EURO_CYCLES,administrateur,corporate,probable,SP_f7184c25b0dc03ccbd12
PERSON_BENYOUSEF_ABDELAZIZ,CO_EURO_CYCLES,administrateur,corporate,probable,SP_7c6f7294ac2caad2a27b
PERSON_BOUSBIA_MOHAMED,CO_BANQUE_CENTRALE_TUNISIE,dg,state,certain,SP_cf8b9bf8390f3248dd6f
PERSON_ABAS_HAMADI,ORGE_2c3fabd764636f7df69b,gerant,state,certain,SP_9526bf3d41b22e209e94
PERSON_ABAS_FERID,ORGE_2c3fabd764636f7df69b,gerant,state,certain,SP_8028f4b7c5889110cc1b
PERSON_AMAR_HABIB,ORGE_ee5dc28a91fbc4865ae8,conseiller,state,certain,SP_b29a0e1c796481445f02
PERSON_KAROUI_RIADH,GOV_MINISTERE_FINANCES,chef_de_service,state,certain,SP_5f4e29de229b2dcd535a
PERSON_MEKI_ALI,GOV_MINISTERE_FINANCES,chef_de_service,state,certain,SP_c768bc4a91731e732a18
PERSON_GABOUJ_RIDHA,ORGE_14fc9d7ab216f1fedac6,unspecified,state,certain,SP_3f7ee1e56949e5d39ef6
PERSON_BENSALEM_MONCEF,CO_TRANSPORT_SAHEL,chef_de_service,state,certain,SP_a88cc439a01f49739b7e
PERSON_BOUSLAMA_BOUBAKER,GOV_MINISTERE_L_EQUIPEMENT_L_HABITAT_L_AMENAGEMENT_TERRITOIRE,chef_de_service,state,certain,SP_37ee107f2aba6b145cf3
PERSON_ZAABI_LOTFI,ORGE_14fc9d7ab216f1fedac6,unspecified,state,certain,SP_5f090152269264e1b8ad
PERSON_AMAR_HABIB,ORGE_ee5dc28a91fbc4865ae8,minister,state,certain,SP_fa51119eae978a21a58c
